Disaster Date,Disaster Type,Disaster Frequency,Risk level,Disaster Location,Temperature (C),Precipitation (mm),Wind Speed (km/h),Humidity (%),Climate Zone,Recommended Material,Material Cost (per sqft) ,Material Durability,Soil Type,Structural Features,Foundation Type,Income Level (annual)
01-04-2000,Cyclone,1,High,West Bengal,25,150,120,85,Tropical Wet,Bamboo,1200,High,Clayey,Reinforced Concrete,Raised,"43,000"
12-07-2000,Flood,6,High,Assam,28,500,15,80,Subtropical,Stone,1050,High,Alluvial,Stone walls,Slab,"37,000"
15-08-2000,Flood,4,High,Kerala,24,300,15,85,Tropical Wet,Brick,1108,High,Sandy,Concrete Slabs,Raised,"50,000"
04-12-2000,Earthquake,3,High,Uttarakhand,10,70,10,40,Mountain,Stone,1222,Medium,Rocky,Stone walls,Deep,"40,000"
26-01-2000,Earthquake,2,High,Gujarat,20,40,10,30,Arid,Stone,860,High,Sandy,Reinforced Concrete,Deep,"50,000"
13-03-2000,Cyclone,4,High,West Bengal,26,150,120,85,Tropical Wet,Steel,1342,High,Clayey,Reinforced Concrete,Raised,"30,000"
10-06-2000,Flood,7,Moderate,Assam,28,500,20,80,Subtropical,Stone,990,High,Alluvial,Stone walls,Slab,"60,000"
15-09-2000,Landslide,2,Moderate,Himachal Pradesh,10,60,10,40,Mountain,Stone,1110,Medium,Rocky,Stone walls,Deep,"50,000"
10-10-2000,Cyclone,4,High,Tamil Nadu,24,150,100,80,Tropical Wet,Steel,1240,High,Loamy,Steel,Raised,"65,000"
26-11-2000,Earthquake,5,High,Uttarakhand,10,50,10,50,Mountain,Stone,1235,Medium,Rocky,Stone walls,Deep,"56,000"
26-01-2001,Earthquake,2,High,Gujarat,20,50,15,35,Arid,Stone,750,High,Sandy,Reinforced Concrete,Deep,"55,000"
21-05-2001,Cyclone,1,High,Gujarat,30,100,215,85,Tropical Wet,Steel,1230,High,Clayey,Reinforced Concrete,Raised,"30,000"
10-06-2001,Forest Fire,4,Moderate,Gujarat,35,57,5,10,Semi-arid,Timber,330,Low,Sandy,Timber,Shallow,"20,000"
15-06-2001,Flood,6,Moderate,Bihar,28,500,20,80,Subtropical,Stone,1200,High,Alluvial,Stone walls,Slab,"50,000"
10-07-2001,Flood,5,High,Bihar,30,400,15,80,Subtropical,Brick,1000,High,Alluvial,Brick walls,Raised,"40,000"
20-08-2001,Flood,7,Moderate,Kerala,24,300,15,85,Tropical Wet,Reinforced Concrete,1100,High,Sandy,Reinforced Concrete,Raised,"60,000"
15-09-2001,Landslide,3,Moderate,Himachal Pradesh,10,50,10,40,Mountain,Brick,1200,Medium,Rocky,Brick walls,Deep,"50,000"
10-10-2001,Cyclone,4,High,Tamil Nadu,25,170,100,80,Tropical Wet,Reinforced Concrete,1300,High,Loamy,Reinforced Concrete,Raised,"60,000"
05-11-2001,Forest Fire,8,High,Uttar Pradesh,30,40,10,15,Semi-arid,Timber,700,Medium,Sandy,Timber,Shallow,"40,000"
01-12-2001,Earthquake,3,High,Kashmir,10,50,10,40,Mountain,Stone,1100,Medium,Rocky,Stone walls,Deep,"50,000"
26-01-2002,Earthquake,2,High,Gujarat,23,70,10,33,Arid,Stone,1000,High,Sandy,Reinforced Concrete,Deep,"60,000"
10-05-2002,Cyclone,4,High,Orissa,29,150,120,87,Tropical Wet,Bamboo,1300,High,Clayey,Reinforced Concrete,Raised,"40,000"
01-06-2002,Forest Fire,7,Moderate,Madhya Pradesh,32,50,7,17,Semi-arid,Timber,300,Low,Sandy,Timber,Shallow,"30,000"
15-07-2002,Flood,8,High,Assam,28,400,23,80,Subtropical,Stone,1100,High,Alluvial,Brick walls,Raised,"40,000"
12-08-2002,Flood,9,Moderate,Kerala,26,300,17,87,Tropical Wet,Reinforced Concrete,1200,High,Sandy,Concrete Slabs,Raised,"60,000"
15-09-2002,Cyclone,3,High,Tamil Nadu,26,155,100,85,Tropical Wet,Reinforced Concrete,1400,High,Loamy,Steel Frame,Raised,"60,000"
20-10-2002,Landslide,4,Moderate,Himachal Pradesh,13,56,13,55,Mountain,Brick,1250,Medium,Rocky,Stone walls,Deep,"50,000"
14-11-2002,Earthquake,1,High,Kashmir,12,45,12,45,Mountain,Stone,1200,Medium,Rocky,Brick walls,Deep,"50,000"
10-12-2002,Forest Fire,7,High,Uttar Pradesh,37,50,11,20,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"40,000"
26-01-2003,Earthquake,2,High,Gujarat,26,50,13,35,Arid,Stone,900,High,Sandy,Reinforced Concrete,Deep,"60,000"
01-05-2003,Cyclone,3,High,West Bengal,30,170,140,87,Tropical Wet,Bamboo,1200,High,Clayey,Reinforced Concrete,Raised,"40,000"
15-06-2003,Flood,6,High,Assam,30,450,25,82,Subtropical,Stone,1000,High,Alluvial,Brick walls,Raised,"40,000"
20-07-2003,Flood,7,Moderate,Kerala,26,350,20,86,Tropical Wet,Reinforced Concrete,1100,High,Sandy,Concrete Slabs,Raised,"60,000"
05-08-2003,Landslide,2,Moderate,Himachal Pradesh,13,70,15,43,Mountain,Brick,1200,Medium,Rocky,Stone walls,Deep,"50,000"
17-09-2003,Cyclone,3,High,Andhra Pradesh,25,155,100,89,Tropical Wet,Reinforced Concrete,1300,High,Loamy,Steel Frame,Raised,"60,000"
23-10-2003,Forest Fire,5,High,Uttar Pradesh,32,60,12,22,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"40,000"
01-11-2003,Earthquake,2,High,J and K,13,80,14,47,Mountain,Stone,1200,Medium,Rocky,Stone walls,Deep,"50,000"
12-12-2003,Flood,6,Moderate,Maharashtra,24,360,23,84,Tropical Wet,Stone,1100,High,Sandy,Concrete Slabs,Raised,"50,000"
26-01-2004,Earthquake,2,High,Andaman and Nicobar Islands,23,18.349,17,66,Coastal,Stone,1200,High,Sandy,Reinforced Concrete,Deep,"40,000"
28-03-2004,Tsunami,3,Extreme,Tamil Nadu,29,22.897,130,89,Coastal,Steel,1300,Extreme,Sandy,Reinforced Concrete,Deep,"60,000"
14-05-2004,Cyclone,8,High,Orissa,27,220,100,82,Tropical Wet,Bamboo,1100,High,Clayey,Reinforced Concrete,Raised,"40,000"
15-06-2004,Flood,9,Moderate,Assam,30,550,22,83,Subtropical,Stone,1200,High,Alluvial,Brick walls,Raised,"40,000"
12-07-2004,Flood,5,High,Kerala,29,360,20,87,Tropical Wet,Reinforced Concrete,1100,High,Sandy,Concrete Slabs,Raised,"60,000"
01-09-2004,Landslide,3,Moderate,Himachal Pradesh,12,40.565,17,46,Mountain,Brick,1200,Medium,Rocky,Stone walls,Deep,"50,000"
28-09-2004,Earthquake,4,High,Kashmir,14,10.356,12,43,Mountain,Stone,1000,Medium,Rocky,Stone walls,Deep,"50,000"
18-10-2004,Forest Fire,8,Moderate,Uttar Pradesh,26,65.675,13,17,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"40,000"
01-11-2004,Cyclone,3,High,Andhra Pradesh,13,200,100,87,Tropical Wet,Reinforced Concrete,1200,High,Loamy,Steel Frame,Raised,"60,000"
26-01-2005,Earthquake,1,High,Kashmir,29,9.667,17,45,Mountain,Stone,1000,Medium,Rocky,Stone walls,Deep,"50,000"
14-05-2005,Cyclone,2,High,Gujarat,28,150,130,87,Tropical Wet,Bamboo,1200,High,Clayey,Reinforced Concrete,Raised,"40,000"
05-06-2005,Flood,6,High,Bihar,26,540,23,89,Subtropical,Stone,1100,High,Alluvial,Brick walls,Raised,"40,000"
15-07-2005,Flood,10,High,Kerala,12,350,22,86,Tropical Wet,Reinforced Concrete,1200,High,Sandy,Concrete Slabs,Raised,"60,000"
